,DE_rand_1_bin,DE_best_1_bin,PSO,SOMA_all_to_one,SOMA_all_to_all
Ackley,1,1,3,4,5
Alpine01,2,4,1,3,5
Alpine02,1,3,5,2,4
Bohachevsky,1,4,1,3,5
CosineMixture,1,1,1,4,5
DefCorrSpring,1,5,1,3,4
DixonPrice,4,1,2,3,5
Griewank,1,4,2,3,5
InvCosineWave,1,2,3,4,5
Levy,1,1,3,4,5
Michalewicz_m1,3,5,2,1,4
Michalewicz_m10,4,5,2,1,3
Mishra07,4,3,1,2,5
Mishra11,1,1,4,1,5
Pathological,2,4,1,3,5
Rastrigin,1,4,2,3,5
Rosenbrock,2,1,4,5,3
Salomon,1,2,3,4,5
Schwefel22,2,1,3,4,5
Schwefel26,2,5,4,3,1
SineEnvelope,3,2,1,4,5
StretchedVSine,4,5,1,3,2
StyblinskiTang,1,4,2,3,5
Trigonometric02,1,1,1,4,5
Vincent,1,1,1,4,5
