,DE_rand_1_bin,DE_best_1_bin,PSO,SOMA_all_to_one,SOMA_all_to_all
Ackley,4.440892098500626e-16,4.440892098500626e-16,3.0252037911774705e-11,2.2344448957767325e-09,1.9858248019530853
Alpine01,0.004168389861824527,0.08077641013048172,5.261113250129751e-10,0.0052227672928335965,0.11863330931698937
Alpine02,-197.6691649632342,-196.20634161858058,-189.68224547273343,-196.74438080550905,-190.33777300148262
Bohachevsky,0.0,0.013764227675860498,0.0,7.031412489292658e-17,0.6089862979269309
CosineMixture,-0.2000000000000001,-0.2000000000000001,-0.2000000000000001,-0.20000000000000007,0.15184228669135394
DefCorrSpring,-0.2000000000000001,-0.027228428113977025,-0.2000000000000001,-0.17469814042902476,-0.08458813282629045
DixonPrice,1.849409136525733e-12,3.7388719987037537e-32,1.028748284403875e-25,4.354085519787079e-16,0.6115414614524524
Griewank,0.006052711799941842,0.021934071977454877,0.0077281806453088795,0.0078068372391915586,0.025073727057527313
InvCosineWave,-0.999999999280017,-0.9301577517188063,-0.9214274706836568,-0.8777760655079097,-0.7249824055291932
Levy,1.4997597826618565e-32,1.4997597826618565e-32,3.019960485431515e-32,1.5036561994576574e-17,0.04504184060736036
Michalewicz_m1,-1.9673647882765217,-1.9057989311279004,-1.9769648150166184,-1.9822556259746809,-1.9453314889876545
Michalewicz_m10,-1.8988553350424886,-1.8624667774768588,-1.944109943559927,-1.9459516561109393,-1.9123013551005223
Mishra07,4.238791434617831e-06,1.868196999871901e-08,7.034141215038226e-27,1.3132024278090682e-24,0.0005500848656159114
Mishra11,0.0,0.0,3.0884935365814903e-18,0.0,6.163323362539023e-15
Pathological,3.416991326828563e-06,2.987218617970244e-05,2.2988162546496347e-06,2.3722735021536322e-05,0.00026217151329807435
Rastrigin,-79.99999999999709,-78.430446838711,-79.60201637716268,-79.07137154671283,-67.23088960644658
Rosenbrock,0.026650564931311585,3.463296917838591e-26,8.280759740159551,8.337279438741882,4.617090774417533
Salomon,0.02497543960088521,0.05389406508996524,0.056829608006448866,0.08322784881713896,0.1500119138733694
Schwefel22,2.3404450821136666e-18,3.125801091323877e-28,3.6095671537046333e-16,7.98598457435784e-10,0.43879281727587155
Schwefel26,15.791803403724073,75.01097071094303,63.16713724950187,35.53152583946374,1.2164477980829966
SineEnvelope,-1.4958689031945385,-1.495869638954356,-1.4958722282713097,-1.495664973158267,-1.491409688173044
StretchedVSine,2.9720027612538687e-06,2.189969837869725e-05,2.530975720544296e-07,2.1353759505700342e-06,2.0401090294925274e-06
StyblinskiTang,-156.66466281508568,-151.00997519569066,-155.72221487851985,-154.77976694195402,-149.94615181083626
Trigonometric02,1.0,1.0,1.0,1.0000000000000002,3.4271309810194803
Vincent,-2.0,-2.0,-2.0,-1.9999999999990439,-1.9998773270556582
